Graph,n,m,minDeg,maxDeg,Time,Heuristics,variable,value
"I?zV~z~~w
",10,35,5,9,0.0004220008850097656,0,RandomSolvable,0.0
"I?zV~~~~w
",10,36,5,9,0.001056671142578125,0,RandomSolvable,0.0
"I?z\z~n~w
",10,34,4,9,0.0005507469177246094,0,RandomSolvable,0.0
"I?z\z~}~w
",10,34,5,9,0.0005409717559814453,0,RandomSolvable,0.0
"I?z\z~~~w
",10,35,1,9,0.0012676715850830078,1,RandomSolvable,0.0
"I?z\~^n~w
",10,34,3,9,0.0005390644073486328,0,RandomSolvable,0.0
"I?z\~^|~w
",10,34,4,9,0.00041961669921875,0,RandomSolvable,0.0
"I?z\~^}~w
",10,34,4,9,0.00046539306640625,0,RandomSolvable,0.0
"I?z\~^~~w
",10,35,4,9,0.0006041526794433594,0,RandomSolvable,0.0
"I?z\~zz~w
",10,34,1,9,0.001157999038696289,1,RandomSolvable,0.0
"I?z\~z|~w
",10,34,5,9,0.0005371570587158203,0,RandomSolvable,0.0
"I?z\~z}~w
",10,34,5,9,0.0009577274322509766,0,RandomSolvable,0.0
"I?z\~z~~w
",10,35,5,9,0.0005891323089599609,0,RandomSolvable,0.0
"I?z\~~}^w
",10,34,5,8,0.0005440711975097656,0,RandomSolvable,0.0
"I?z\~~}zw
",10,34,4,8,0.0004019737243652344,0,RandomSolvable,1.0
"I?z\~~}~W
",10,34,5,8,0.0005016326904296875,0,RandomSolvable,0.0
"I?z\~~}~o
",10,34,5,8,0.0005452632904052734,0,RandomSolvable,0.0
"I?z\~~}~w
",10,35,5,9,0.0005629062652587891,0,RandomSolvable,0.0
"I?z\~~~~w
",10,36,5,9,0.0006046295166015625,0,RandomSolvable,0.0
"I?z^d~~~w
",10,34,5,9,0.00047016143798828125,0,RandomSolvable,0.0
"I?z^f^~~w
",10,34,4,9,0.0006475448608398438,0,RandomSolvable,0.0
"I?z^fv~~w
",10,34,5,9,0.0006365776062011719,0,RandomSolvable,0.0
"I?z^fz~~w
",10,34,5,9,0.00034236907958984375,0,RandomSolvable,0.0
"I?z^f~}~w
",10,34,5,9,0.0009226799011230469,0,RandomSolvable,0.0
